"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10","GET /users/current — возвращает текущего аутентифицированного пользователя","tests.api.users","2026-06-05","passed","2026-06-05","TestUsersIntegration","test_users_integration","",""
"","33","PUT /buildTypes/{buildTypeLocator}/parameters/{name} — изменение параметра build configuration","tests.api.builds","2026-06-05","passed","2026-06-05","TestBuildIntegration","test_builds_integration","",""
"","1353","UI — админ жмёт кнопку создать проект через main button","tests.ui.ui_base","2026-06-05","passed","2026-06-05","TestLoginAdmin","test_ui_admin_base_steps","",""
"","4369","UI — логин админа с корректными данными","tests.ui.ui_base","2026-06-05","passed","2026-06-05","TestLoginAdmin","test_ui_admin_login","",""
"","1657","UI — админ жмёт кнопку Queue","tests.ui.ui_base","2026-06-05","passed","2026-06-05","TestLoginAdmin","test_ui_admin_base_steps","",""
"","2023","UI — админ жмёт кнопку Administration","tests.ui.ui_base","2026-06-05","passed","2026-06-05","TestLoginAdmin","test_ui_admin_base_steps","",""
"","90","POST /vcs-roots — создание VCS Root","tests.api.VCS Root","2026-06-05","passed","2026-06-05","TestVcsRootSmoke","test_vcs_root_smoke","",""
"","10","GET /agents?locator=authorized:true — HTTP 200, >= 1 авторизованный агент","tests.api.agents","2026-06-05","passed","2026-06-05","TestAgentsSmoke","test_agents_smoke","",""
"","1058","UI — создать проект через main button","tests.ui.ui_base","2026-06-05","passed","2026-06-05","TestUICreateProject","test_ui_admin_create_project","",""
"","4708","UI — логаут админа","tests.ui.ui_base","2026-06-05","passed","2026-06-05","TestLoginAdmin","test_ui_admin_login","",""
"","43","PUT /projects/{projectLocator}/archived — архивация проекта","tests.api.projects","2026-06-05","passed","2026-06-05","TestProjectIntegration","test_projects_integration","",""
"","897","UI — админ жмёт кнопку Agents","tests.ui.ui_base","2026-06-05","passed","2026-06-05","TestLoginAdmin","test_ui_admin_base_steps","",""
"","1021","UI — отмена создания пользователя","tests.ui.ui_base","2026-06-05","passed","2026-06-05","TestUiAdminCreateUser","test_ui_admin_create_user","",""
"","50","POST /projects — создать проект с заданными атрибутами","tests.api.projects","2026-06-05","passed","2026-06-05","TestProjectIntegration","test_projects_integration","",""
"","1914","UI — создать проект через dropdown button","tests.ui.ui_base","2026-06-05","passed","2026-06-05","TestUICreateProject","test_ui_admin_create_project","",""
"","1912","UI — создать проект через dropdown button","tests.ui.ui_base","2026-06-05","passed","2026-06-05","TestUICreateProject","test_ui_admin_create_project","",""
"","10","GET /server — HTTP 200, поле version присутствует","tests.api.server","2026-06-05","passed","2026-06-05","TestServerSmoke","test_server_smoke","",""
